Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
spray bottle,15,6,3.5,-1,,,,Precision pad abd 2-3
vacuum,15,4.5,4.5,1,,,,Precision pad abd 2-3
vacuum wires,7.5,0.5,0.5,1,,,,Precision pad abd 2-3
mop,15,3.5,3.5,1,,,,Precision pad abd 2-3
rug,15,15,1,-0.5,,,,Precision pad abd 2-3
ball,6.5,6.5,6.5,0.5,,,,Precision pad abd 2-3
drawer,15,8,1.5,-1,,,,Precision pad abd 2-3
sponge,10,6,2.5,-1,,,,Precision pad abd 2-3
pen,14.5,0.9,0.9,1,,,,Precision pad abd 2-3
door,15,15,4.5,-0.5,,,,Precision pad abd 2-3
paper,15,15,0.2,-0.5,,,,Precision pad abd 2-3
combination lock,5.5,3.5,1.5,-1,,,,Precision pad abd 2-3
ruler,15,2.25,0.25,-1,,,,Precision pad abd 2-3
cards,8,5,0.15,-1,,,,Precision pad abd 2-3
small toy,7,7,3.5,-0.5,,,,Precision pad abd 2-3
glass container,13.5,7.5,7.5,1,,,,Precision pad abd 2-3
aerosol can cap,6,6,5,0.5,,,,Precision pad abd 2-3
small bottle,11,3,3,1,,,,Precision pad abd 2-3
toothbrush,15,1,1,1,,,,Precision pad abd 2-3
contact case,2,2,1,-0.5,,,,Precision pad abd 2-3
hanger,15,0.2,0.2,1,,,,Precision pad abd 2-3
power cord,15,0.9,0.9,1,,,,Precision pad abd 2-3
pencil,15,0.9,0.9,1,,,,Precision pad abd 2-3
alarm clock,15,15,5,-0.5,,,,Precision pad abd 2-3
cabinet,15,15,1.75,-0.5,,,,Precision pad abd 2-3
plastic cup,12.5,7,7,1,,,,Precision pad abd 2-3
cup,15,7,7,1,,,,Precision pad abd 2-3
plug,10,1.5,1,-1,,,,Precision pad abd 2-3
end of hose,12.5,2.5,2.5,1,,,,Precision pad abd 2-3
air freshener,10,4.5,4,1,,,,Precision pad abd 2-3
safety pin,4,1,0.15,-1,,,,Precision pad abd 2-3
salt shaker,15,4.5,4.5,1,,,,Precision pad abd 2-3
tongs,12.5,2,0.75,-1,,,,Precision pad abd 2-3
jar,12.5,11,1,-0.5,,,,Precision pad abd 2-3
small knob,4.5,2.5,2.5,1,,,,Precision pad abd 2-3
plastic tube,15,1,1,1,,,,Precision pad abd 2-3
vacuum cleaner,15,4.5,4.5,1,,,,Precision pad abd 2-3
cell phone,10,5.5,1,-1,,,,Precision pad abd 2-3
hose,15,2.25,2.25,1,,,,Precision pad abd 2-3
bottle cap,3.5,3.5,1.25,-0.5,,,,Precision pad abd 2-3
