Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
spray bottle,15,6,3.5,-1,,,,Power pad abd 2-4
mop,15,3.5,3.5,1,,,,Power pad abd 2-4
rug,15,15,1,-0.5,,,,Power pad abd 2-4
cord,15,0.75,0.75,1,,,,Power pad abd 2-4
aerosol can,15,6,6,1,,,,Power pad abd 2-4
pillow,15,15,6.5,-0.5,,,,Power pad abd 2-4
chair,15,15,2,-0.5,,,,Power pad abd 2-4
sponge,10,6,2.5,-1,,,,Power pad abd 2-4
bar stool,15,15,3,-0.5,,,,Power pad abd 2-4
paper,15,15,0.2,-0.5,,,,Power pad abd 2-4
stack of paper,15,15,2,-0.5,,,,Power pad abd 2-4
ruler,15,2.25,0.25,-1,,,,Power pad abd 2-4
trash can,15,15,1,-0.5,,,,Power pad abd 2-4
ironing board,15,3.5,3.5,1,,,,Power pad abd 2-4
book,15,15,2.75,-0.5,,,,Power pad abd 2-4
magazines,15,15,1.5,-0.5,,,,Power pad abd 2-4
cup,15,7,7,1,,,,Power pad abd 2-4
bowl,12.5,12.5,1,-0.5,,,,Power pad abd 2-4
bucket,15,1,1,1,,,,Power pad abd 2-4
soap dish,10,7.5,2.5,-0.5,,,,Power pad abd 2-4
tissue holder,11,4,2,-1,,,,Power pad abd 2-4
plastic top,6.5,6.5,6.5,0.5,,,,Power pad abd 2-4
bathroom scale,15,15,4.5,-0.5,,,,Power pad abd 2-4
computer,15,15,3.5,-0.5,,,,Power pad abd 2-4
small knob,4.5,2.5,2.5,1,,,,Power pad abd 2-4
cell phone,10,5.5,1,-1,,,,Power pad abd 2-4
dishwasher door,15,15,5.5,-0.5,,,,Power pad abd 2-4
plate,15,15,1,-0.5,,,,Power pad abd 2-4
food container lid,15,15,0.75,-0.5,,,,Power pad abd 2-4
tray,15,15,1,-0.5,,,,Power pad abd 2-4
table,15,15,4,-0.5,,,,Power pad abd 2-4
bread box,15,15,15,0.5,,,,Power pad abd 2-4
game,15,14.5,1.25,-0.5,,,,Power pad abd 2-4
exercise equipment,15,15,5,-0.5,,,,Power pad abd 2-4
shower brush,9,4,2.5,-1,,,,Power pad abd 2-4
ceramic fish,13.5,5.5,1.5,-1,,,,Power pad abd 2-4
dish,11,11,1,-0.5,,,,Power pad abd 2-4
cylindrical part on machine,12.5,5.5,5.5,1,,,,Power pad abd 2-4
medium knob,3.5,3.5,3.5,0.5,,,,Power pad abd 2-4
sandpaper,8,5.5,0.15,-0.5,,,,Power pad abd 2-4
medium drum-like part,13.5,13.5,9.5,0.5,,,,Power pad abd 2-4
small drum-like part,10.5,8.5,8.5,0.5,,,,Power pad abd 2-4
saw,10,4,2.5,-1,,,,Power pad abd 2-4
micrometer,11.5,1.75,1.75,1,,,,Power pad abd 2-4
screwdriver,15,3.5,3.5,1,,,,Power pad abd 2-4
plastic shield,15,15,0.75,-0.5,,,,Power pad abd 2-4
thin parallel,15,3.5,0.4,-1,,,,Power pad abd 2-4
end mill,11.5,0.75,0.75,1,,,,Power pad abd 2-4
large knob,4,2.5,2.5,1,,,,Power pad abd 2-4
screw,1.5,0.75,0.75,1,,,,Power pad abd 2-4
tool stand,15,6.5,4,-1,,,,Power pad abd 2-4
plexiglas rectangle,15,4.5,1,-1,,,,Power pad abd 2-4
metal slab,15,15,1.5,-0.5,,,,Power pad abd 2-4
