Object,A,B,C,Shape,Roll,Pitch,Yaw,Grasp_group
spray bottle,15,6,3.5,-1,,,,Power palm abd 2-5
wiper handle,15,2,2,1,,,,Power palm abd 2-5
vacuum,15,4.5,4.5,1,,,,Power palm abd 2-5
vacuum wires,7.5,0.5,0.5,1,,,,Power palm abd 2-5
vacuum tube,15,4.5,4.5,1,,,,Power palm abd 2-5
mop,15,3.5,3.5,1,,,,Power palm abd 2-5
rug,15,15,1,-0.5,,,,Power palm abd 2-5
cord,15,0.75,0.75,1,,,,Power palm abd 2-5
aerosol can,15,6,6,1,,,,Power palm abd 2-5
toilet brush,15,1.5,1.5,1,,,,Power palm abd 2-5
remote,15,6,2.5,-1,,,,Power palm abd 2-5
pillow,15,15,6.5,-0.5,,,,Power palm abd 2-5
chair,15,15,2,-0.5,,,,Power palm abd 2-5
sponge,10,6,2.5,-1,,,,Power palm abd 2-5
pen,14.5,0.9,0.9,1,,,,Power palm abd 2-5
pet bed,15,15,9,-0.5,,,,Power palm abd 2-5
paper towel roll,15,9,9,1,,,,Power palm abd 2-5
ruler,15,2.25,0.25,-1,,,,Power palm abd 2-5
bottle,15,8,6,1,,,,Power palm abd 2-5
glasses,10.5,3,0.75,-1,,,,Power palm abd 2-5
trash can,15,15,1,-0.5,,,,Power palm abd 2-5
belt,15,3.5,0.35,-1,,,,Power palm abd 2-5
glass container,13.5,7.5,7.5,1,,,,Power palm abd 2-5
small bottle,11,3,3,1,,,,Power palm abd 2-5
toothbrush,15,1,1,1,,,,Power palm abd 2-5
hanger,15,0.2,0.2,1,,,,Power palm abd 2-5
glass jar,13.5,7.5,7.5,1,,,,Power palm abd 2-5
paper cup,10,6.5,6.5,1,,,,Power palm abd 2-5
toilet brushholder,15,9,6.5,1,,,,Power palm abd 2-5
power cord,15,0.9,0.9,1,,,,Power palm abd 2-5
iron,15,6.5,3.5,-1,,,,Power palm abd 2-5
ironing board,15,3.5,3.5,1,,,,Power palm abd 2-5
alarm clock,15,15,5,-0.5,,,,Power palm abd 2-5
plastic squeeze bottle,12.5,5,3.5,1,,,,Power palm abd 2-5
plastic cup,12.5,7,7,1,,,,Power palm abd 2-5
cup,15,7,7,1,,,,Power palm abd 2-5
bowl,12.5,12.5,1,-0.5,,,,Power palm abd 2-5
end of hose,12.5,2.5,2.5,1,,,,Power palm abd 2-5
soap dish,10,7.5,2.5,-0.5,,,,Power palm abd 2-5
soap,8,5,2.5,-1,,,,Power palm abd 2-5
scrubber,10,2,1.5,1,,,,Power palm abd 2-5
shower head,14,3,3,1,,,,Power palm abd 2-5
air freshener,10,4.5,4,1,,,,Power palm abd 2-5
candle,15,9.5,9.5,1,,,,Power palm abd 2-5
small knob,4.5,2.5,2.5,1,,,,Power palm abd 2-5
vacuum cleaner,15,4.5,4.5,1,,,,Power palm abd 2-5
cell phone,10,5.5,1,-1,,,,Power palm abd 2-5
hose,15,2.25,2.25,1,,,,Power palm abd 2-5
duster,15,2.5,1.5,-1,,,,Power palm abd 2-5
toy car,15,4,4,1,,,,Power palm abd 2-5
phone,9.5,5.25,1.75,-1,,,,Power palm abd 2-5
